No.,Parent Company Name,Mill Name,Country,State/Province,Latitude,Longitude
68,Prima Sauhur Lestari,Prima Sauhur Lestari,Indonesia,Sumatera Utara,3.083042,99.301816
69,Kencana Amal Tani,Amal Tani,Indonesia,Sumatera Utara,3.588333,98.305556
70,Anugrah Fajar Rezeki,Anugrah Fajar Rezeki,Indonesia,Aceh,4.57432,97.90967
71,Jaya Makmur Sentosa,Anugerah Langkat Makmur,Indonesia,Sumatera Utara,4.013036111,98.19419167
72,Bangun Sempurna Lestari,Bangun Sempurna Lestari,Indonesia,Aceh,2.633514,97.950322
73,Beurata Subur Persada,Beurata Subur Persada,Indonesia,Aceh,4.125333,96.34125
74,Budi Tani Kembang Jaya,Budi Tani Kembang Jaya,Indonesia,Riau,0.542619,101.579547
75,Bumi Daya Agrotamas,Bumi Daya Agrotamas,Indonesia,Aceh,2.583222,97.854167
76,Cipta Chemical Medan Oil,Cipta Chemical Medan Oil,Indonesia,Sumatera Utara,3.854211,98.344353
77,Oriental Holdings,Gunung Maras Lestari,Indonesia,Bangka Belitung,-1.9623,105.951364
78,Oriental Holdings,Gunungsawit Binalestari,Indonesia,Bangka Belitung,-2.071194,105.321689
79,Harkat Sejahtera,Harkat Sejahtera,Indonesia,Sumatera Utara,3.065017,99.428267
80,Jaya Baru Pertama,Jaya Baru I,Indonesia,Sumatera Utara,4.065821,98.215881
81,Karimun Aromatics,Karimun Aromatics,Indonesia,Sumatera Utara,4.013075,98.149517
82,Mahkota Group,Karya Mitra Andalan,Indonesia,Sumatera Utara,2.78457,99.61819
83,Mahkota Group,Karya Pratama Niaga Jaya,Indonesia,Sumatera Utara,3.316388889,99.31377778
84,Leomas Anugerah Bersaudara,Leomas Anugerah Bersaudara,Indonesia,Sumatera Utara,3.412430556,98.73464444
85,Makmur Andalan Sawit,Sorek,Indonesia,Riau,0.069416667,102.12475
86,Megah Pusaka Andalas,Megah Pusaka Andalas,Indonesia,Sumatera Utara,3.6506639,98.1507722
87,Mutiaranusa Agro Sejahtera,Mutiaranusa Agro Sejahtera,Indonesia,Sumatera Utara,2.269242,99.767917
88,Era Cipta,Nauli Sawit,Indonesia,Sumatera Utara,2.0840917,98.3124444
89 Pontjan,,Perkebunan Dan Pertanian Pati Sari,Indonesia,Aceh,4.088528,97.960917
90,Perusahaan Perkebunan & Dagang,Indah Pontjan,Indonesia,Sumatera Utara,3.564244,99.016147
91,Runding Putra Persada,Runding Putra Persada,Indonesia,Aceh,2.46267,97.939611
92,Sawitta Jaya Lau Pakam,Sawitta Jaya Lau Pakam,Indonesia,Sumatera Utara,3.260417,97.965
93,Sungai Budi,Serbahuta Jaya,Indonesia,Sumatera Utara,2.222889,99.934639
94,Serdang Hulu,Serdang Hulu,Indonesia,Sumatera Utara,3.34945,98.494433
95 Mujur Timber,,Sinar Gunung Sawit Raya,Indonesia,Sumatera Utara,2.115462,98.267794
96,Sinar Langkat Perkasa,Sinar Langkat Perkasa,Indonesia,Sumatera Utara,3.620806,98.401528
97,Sinar Pandawa,Sinar Pandawa,Indonesia,Sumatera Utara,2.226278,100.081908
98,Asian Agri And Apical,Sinar Sawit Subur Lestari (Siancimun),Indonesia,Sumatera Utara,1.590333333,99.873
99,Sumber Sawit Jaya Lestari,Sumber Sawit Jaya Lestari,Indonesia,Sumatera Utara,2.761504,99.958939
100,Surya Bratasena Plantation,Sei Nilo,Indonesia,Riau,0.152003,101.973135
101,Syaukath Agro,Syaukath Agro,Indonesia,Aceh,4.575389,95.705
102,Kande,Syaukath Sejahtera,Indonesia,Aceh,5.226972,96.898372
103,Raja Garuda Mas,Global Sawit Semesta,Indonesia,Aceh,2.617565,98.027843
104,Tri Agro Palma Tamiang,Seumadam AcehÂ Tamiang,Indonesia,Aceh,4.186044,98.0424
105,Perkebunan Nusantara I,Cot Girek,Indonesia,Aceh,4.9285,97.370667
106,Perkebunan Nusantara I,Pulau Tiga,Indonesia,Aceh,4.18335,97.936817
107,Perkebunan Nusantara I,Tanjung Seumantoh,Indonesia,Aceh,4.366879,98.088319
108,Perkebunan Nusantara II,Kwala Sawit,Indonesia,Sumatera Utara,3.69194,98.153056
109,Perkebunan Nusantara II,Pagar Merbau,Indonesia,Sumatera Utara,3.526085,98.89842
110,Perkebunan Nusantara II,Sawit Hulu,Indonesia,Sumatera Utara,3.84411,98.23342
111,Perkebunan Nusantara II,Sawit Seberang,Indonesia,Sumatera Utara,3.7996,98.277133
112,Perkebunan Nusantara III,Aek Nabara Selatan,Indonesia,Sumatera Utara,2.058056,99.955278
113,Perkebunan Nusantara III,Aek Raso,Indonesia,Sumatera Utara,1.703806,100.172333
114,Perkebunan Nusantara III,Aek Torop,Indonesia,Sumatera Utara,1.792778,100.155833
115,Perkebunan Nusantara III,Hapesong,Indonesia,Sumatera Utara,1.452369,99.069148
116,Perkebunan Nusantara III,Rambutan,Indonesia,Sumatera Utara,3.3511,99.16912
117,Perkebunan Nusantara III,Sei Baruhur,Indonesia,Sumatera Utara,1.691645,100.286791
118,Perkebunan Nusantara III,Sei Daun,Indonesia,Sumatera Utara,1.678918,100.328346
119,Perkebunan Nusantara III,Sei Mangkei,Indonesia,Sumatera Utara,3.129744,99.343674
120,Perkebunan Nusantara III,Sei Meranti,Indonesia,Riau,1.642228,100.41644
121,Perkebunan Nusantara III,Sei Silau,Indonesia,Sumatera Utara,2.902698,99.511649
122,Perkebunan Nusantara III,Sisumut,Indonesia,Sumatera Utara,1.964028,100.108167
123,Perkebunan Nusantara III,Torgamba,Indonesia,Sumatera Utara,1.712778,100.2904833
124,Perkebunan Nusantara IV,Adolina,Indonesia,Sumatera Utara,3.568056,98.9475
125,Perkebunan Nusantara IV,Air Batu,Indonesia,Sumatera Utara,2.859162,99.637922
126,Perkebunan Nusantara IV,Ajamu-I,Indonesia,Sumatera Utara,2.457183,100.16065
127,Perkebunan Nusantara IV,Bah Jambi,Indonesia,Sumatera Utara,2.986317,99.220233
128,Perkebunan Nusantara IV,Berangir,Indonesia,Sumatera Utara,2.224408,99.760038
129,Perkebunan Nusantara IV,Dolok Sinumbah,Indonesia,Sumatera Utara,3.111618,99.329061
130,Perkebunan Nusantara IV,Dolok Ilir,Indonesia,Sumatera Utara,3.122297,99.161703
131,Perkebunan Nusantara IV,Gunung Bayu,Indonesia,Sumatera Utara,3.144075,99.37348
132,Perkebunan Nusantara IV,Mayang,Indonesia,Sumatera Utara,3.033219,99.3334
133,Perkebunan Nusantara IV,Usaha Pabatu,Indonesia,Sumatera Utara,3.286111,99.109167
134,Perkebunan Nusantara IV,Pasir Mandoge,Indonesia,Sumatera Utara,2.768694,99.317583
135,Perkebunan Nusantara IV,Pulau Raja,Indonesia,Sumatera Utara,2.702181,99.624304
136,Perkebunan Nusantara IV,Sungai Langkat,Indonesia,Sumatera Utara,3.700417,98.294222
137,Perkebunan Nusantara IV,Tinjowan,Indonesia,Sumatera Utara,3.080347,99.512473
138,Risjadson,Delima Makmur,Indonesia,Aceh,2.24508,98.02851
139,Inti Indosawit Subur,Gunung Melayu II,Indonesia,Sumatera Utara,2.749444,99.469722
140,Inti Indosawit Subur,Gunung Melayu I,Indonesia,Sumatera Utara,2.791694,99.598306
141,Inti Indosawit Subur,Supra Matra Abadi (Tanah Datar),Indonesia,Sumatera Utara,3.148,99.55639
142,Raya Padang Langkat,Raya Padang Langkat,Indonesia,Sumatera Utara,3.946467,98.3661
143,Technindo,Sinar Sawit Lestari,Indonesia,Sumatera Utara,2.461781,99.652975
144,Sinar Jaya Agro Investama,Bisma Dharma Kencana,Indonesia,Kalimantan Tengah,-1.801,113.1817
145,Sinar Jaya Agro Investama,Khatulistiwa Sinergi Omnidaya,Indonesia,Kalimantan Tengah,-2.220317,111.458467
146,Socfin Group,Bangun Bandar,Indonesia,Sumatera Utara,3.33072,99.04335
147,Socfin Group,Lae Butar,Indonesia,Aceh,2.391111111,97.95666667
148,Socfin Group,Mata Pao,Indonesia,Sumatera Utara,3.530833,99.091944
149,Socfin Group,Sungai Liput,Indonesia,Aceh,4.231944444,98.05944444
150,Socfin Group,Seumanyam,Indonesia,Aceh,3.965278,96.565278
151,Socfin Group,Seunagan,Indonesia,Aceh,4.06,96.262222
152,Socfin Group,Tanah Gambus,Indonesia,Sumatera Utara,3.203889,99.404444
153,Sumber Tani Agung,Karya Agung Sawita,Indonesia,Sumatera Utara,1.0657,99.963133
154,Karya Serasi Jaya Abadi,Karya Serasi Jaya Abadi,Indonesia,Sumatera Utara,3.34228,99.22248
155,Sumber Tani Agung,Sumber Tani Agung,Indonesia,Sumatera Utara,1.75455,99.9835
156,Tri Bahtera Srikandi,Sago Nauli,Indonesia,Sumatera Utara,0.464306,99.368611
157,Tri Bahtera Srikandi,Patiluban Mudik,Indonesia,Sumatera Utara,0.567528,99.203306
158,Trinity Interlink,Bina Rahmad Madani,Indonesia,Sumatera Utara,3.932425,98.178011
159,Karya Dewi Putra,Katingan Central,Indonesia,Kalimantan Tengah,-1.438056,112.8742
160,Bumitama Gunajaya Agro,Bukit Makmur,Indonesia,Kalimantan Tengah,-1.567462,112.720621
161,Bumitama Gunajaya Agro,Karya Makmur Bahagia,Indonesia,Kalimantan Tengah,-1.761271,112.597416
162 Bumitama Gunajaya Agro,,Windu Nabatindo Lestari (Katari Agro),Indonesia,Kalimantan Tengah,-2.101111,113.033333
163,Bumitama Gunajaya Agro,"Windu Nabatindo Lestari (Pundu
Nabatindo)",Indonesia,Kalimantan Tengah,-1.993167,113.060706
164,Bumitama Gunajaya Agro,Windu Nabatindo Abadi (Selucing Agro),Indonesia,Kalimantan Tengah,-1.883033,113.03175
165,Bumitama Gunajaya Agro,Windu Nabatindo Lestari (Cempaga),Indonesia,Kalimantan Tengah,-1.828948,112.912619
166,Dhanista Surya Nusantara,Antang Ganda Utama (Butong),Indonesia,Kalimantan Tengah,-1.115694,114.887194
167,Makin,Intiga Prabhakara Kahuripan (Tamiang),Indonesia,Kalimantan Tengah,-2.025217,112.674933
168,Dhanista Surya Nusantara,Pandran Raya,Indonesia,Kalimantan Tengah,-1.1395,115.0302
169,Dwie Warna Karya,Golden Hill,Indonesia,Kalimantan Tengah,-0.841944,114.08
170,Goodhope Asia Holdings,Agro Wana Lestari (Bukit Santuai),Indonesia,Kalimantan Tengah,-1.8572806,112.397775
171,Goodhope Asia Holdings,Semantan,Malaysia,Pahang,3.469306,102.316472
172,Goodhope Asia Holdings,Agro Indomas II (Sungai Purun),Indonesia,Kalimantan Tengah,-2.5238944,112.4168306
173,Goodhope Asia Holdings,Agro Indomas I (Terawan),Indonesia,Kalimantan Tengah,-2.559975,112.373611
174,Karya Makmur Abadi,Karya Makmur Abadi,Indonesia,Kalimantan Tengah,-2.0883389,111.5386778
175,Kuala Lumpur Kepong,Mulia Agro Permai,Indonesia,Kalimantan Tengah,-2.3,112.5
176,Makin,Surya Intisawit Kahuripan (Kasai),Indonesia,Kalimantan Tengah,-1.906806,112.8329
177,Asam Jawa,Swadaya Sapta Putra,Indonesia,Kalimantan Tengah,-1.993683,112.831683
178,Sime Darby Plantation,Indotruba Tengah (Sekunyr),Indonesia,Kalimantan Tengah,-2.366106,111.954818
179,Asam Jawa,Musirawas Citraharpindo 1,Indonesia,Kalimantan Tengah,-2.39805,112.22479
180,Asam Jawa,Musirawas Citraharpindo 2,Indonesia,Kalimantan Tengah,-2.451667,112.2161
181,Asam Jawa,Uniprimacom I,Indonesia,Kalimantan Tengah,-1.943668,112.728811
182,Asam Jawa,Uniprimacom II,Indonesia,Kalimantan Tengah,-1.8625,112.72111
183,Agrindo Sawit Mandiri,Agrindo Sawit Mandiri,Indonesia,Kalimantan Tengah,-2.3837,112.281
184,Agro Indomas,Bumi Jaya,Indonesia,Kalimantan Timur,-1.0148244,116.6895414
185,Arjuna Utama Sawit,Arjuna Utama Sawit,Indonesia,Kalimantan Tengah,-2.253034,113.379145
186,Sriwijaya Estate,Mulia Sawit Agro Lestari,Indonesia,Kalimantan Tengah,-1.511494,113.46575
187,Asam Jawa,Sapta Karya Damai,Indonesia,Kalimantan Tengah,-2.58287,112.62698
188,Sawit Mas Parenggean,Sawit Mas Parenggean,Indonesia,Kalimantan Tengah,-2.030917,112.769619
189,Sawitmas Nugraha Perdana,Sawitmas Nugraha Perdana,Indonesia,Kalimantan Tengah,-2.5,112.7181
190,Sumber Tani Agung,Tantahan Panduhup Asi,Indonesia,Kalimantan Tengah,-1.43931389,113.4500917
191,Triputra Agro Persada,Gawi Bahandep Sawit Mekar,Indonesia,Kalimantan Tengah,-2.951233,112.347033
192,Inti Indosawit Subur,Buatan I,Indonesia,Riau,0.43462,101.822603
193,Inti Indosawit Subur,Rigunas Agri Utama (Bungo Tebo),Indonesia,Jambi,-1.34666667,102.4561111
194,Inti Indosawit Subur,Muara Bulian,Indonesia,Jambi,-1.5851,103.201217
195,Inti Indosawit Subur,Negeri Lama II,Indonesia,Sumatera Utara,2.359722,100.035278
196,Peputra Supra Jaya,Peputra Supra Jaya,Indonesia,Riau,0.193358,101.795075
197,Inti Indosawit Subur,Rigunas Agri Utama (Peranap),Indonesia,Riau,-0.583821,102.02054
198,Sawit Jujuhan Abadi,Sawit Jujuhan Abadi,Indonesia,Jambi,-1.239993,101.749818
199,Adimulia Agrolestari,Segati,Indonesia,Riau,-0.108983,101.386783
200,Inti Indosawit Subur,Dasa Anugrah Sejati (Taman Raja),Indonesia,Jambi,-1.176694444,103.0078056
201,Asian Agri And Apical,Indosawit Subur Tanjung Pauh,Indonesia,Riau,-0.096778,101.297694
202,Asian Agri And Apical,Indo Sepadan Jaya (Tanjung Selamat),Indonesia,Sumatera Utara,2.130251,100.002172
203,Inti Indosawit Subur,Supra Matra Abadi (Teluk Panjie),Indonesia,Sumatera Utara,2.002806,100.243611
204,Inti Indosawit Subur,Tunggal Yunus Estate (Topaz),Indonesia,Riau,0.68814,100.93512
205,Inti Indosawit Subur,Kuala Tungkal,Indonesia,Jambi,-1.301383,102.97935
206,Inti Indosawit Subur,Ukui I,Indonesia,Riau,-0.226111,102.0925
207,Inti Indosawit Subur,Ukui II,Indonesia,Riau,-0.276889,102.116889
208,Aathi Bagawathi Manufacturing,Abdi Budi Mulia 2,Indonesia,Sumatera Utara,2.11272,100.27311
209,Maju Indo Raya,Aek Sibirong,Indonesia,Sumatera Utara,1.409317,98.85825
210,Panca Eka,Agro Abadi,Indonesia,Riau,0.346002,101.475229
211,Agro Mekar Lestari,Agro Mekar Lestari,Indonesia,Kepulauan Riau,0.829466667,103.3760167
212,Agro Sarimas Indonesia,Agro Sarimas Indonesia,Indonesia,Riau,-0.519017,102.922797
213,Agro Wijaya Industri,Agro Wijaya Industri,Indonesia,Jambi,-1.728722,102.244778
214,Anugerah Tani Makmur,Anugerah Tani Makmur,Indonesia,Riau,0.536222,101.602024
215,Archipelago Timur Abadi,Archipelago,Indonesia,Kalimantan Tengah,-1.1395156,113.9864769
216,Asia Sawit Lestari,Asia Sawit Lestari,Indonesia,Jambi,-1.837583333,103.3790278
217,Tasma Puja,Batang Cenaku,Indonesia,Riau,-0.8146667,102.19
218,Berkat Sawit Sejahtera,Inhil,Indonesia,Riau,-0.709042,102.659479
219,Berkat Sawit Sejahtera,Gunung Tuleh,Indonesia,Sumatera Barat,0.238055556,99.70361111
220,Bina Mitra Makmur,Bina Mitra Makmur,Indonesia,Jambi,-1.497333,102.240667
221,Anglo-Eastern Plantations,Bina Pitri Jaya,Indonesia,Riau,0.809088,101.277952
222,Sin Tek Huat,Bina Sawit Nusantara,Indonesia,Riau,0.165673,101.326598
223,Bintang Nauli Pratama,Bintang Nauli Pratama,Indonesia,Sumatera Utara,1.527861,98.974806
224,Bukit Palem,Bukit Palem,Indonesia,Kalimantan Barat,-2.373333,110.643333
225,Tri Bakti Sarimas,Bukit Payung,Indonesia,Riau,-0.73027778,101.6397222
226,Anugerah,Bumi Mentari Karya (Kampar),Indonesia,Riau,0.6257,101.1391889
227,Anugerah,Bumi Mentari Karya (Air Hitam),Indonesia,Bengkulu,-2.793707,101.402522
228,Teguh Karsa Wanalestari,Bunga Raya,Indonesia,Riau,0.927722,102.02125
229,Bungo Limbur,Bungo Limbur,Indonesia,Jambi,-1.375067,101.891894
230,Bungo Suko Menanti,Bungo Suko Menanti,Indonesia,Sumatera Barat,-1.25625,101.711167
231,Cahaya Bintang Sawit Sejati,Cahaya Bintang Sawit Sejati,Indonesia,Kalimantan Timur,-1.842808,116.068101
232,Cahaya Bintang Sawit Sejati,Petangis,Indonesia,Kalimantan Timur,-2.097222,116.116667
233,Cahaya Sawit Lestari,Cahaya Sawit Lestari,Indonesia,Sumatera Utara,1.440833,100.291111
234,Cakra Alam Sejati,Cakra Alam Sejati,Indonesia,Riau,0.175472,102.051417
235,Cipta Agro Sejati,Cipta Agro Sejati,Indonesia,Riau,1.8712,100.431033
236,Duta Marga,Dharmasraya Lestarindo,Indonesia,Sumatera Barat,-1.07931,101.664667
237,Dian Anggara Persada,Dian Anggara Persada,Indonesia,Riau,0.979111,101.045278
238,Asian Agri And Apical,Djaya Globalindo Sentosa,Indonesia,Riau,1.694611111,101.043
239,Astra Agro Lestari,Eka Dura Indonesia (Sei Manding),Indonesia,Riau,0.88425,100.611683
240,Fortius Agro Asia,Aliantan,Indonesia,Riau,0.477194444,100.7515278
241,Gemilang Sawit Lestari,Gemilang Sawit Lestari,Indonesia,Riau,-0.45481,101.82702
242,Graha Permata Hijau,Graha Permata Hijau,Indonesia,Riau,1.125556,100.849444
243,Guna Agung Semesta,Guna Agung Semesta,Indonesia,Riau,0.987131,101.243811
244,Gunung Sawit Abadi,Gunung Sawit Abadi,Indonesia,Sumatera Barat,-0.046138,99.915697
245,Astra Agro Lestari,Gunung Sejahtera Dua Indah,Indonesia,Kalimantan Tengah,-2.30085,111.837333
246,Hasil Karya Bumisejati,Kepenghuluan,Indonesia,Riau,1.45105,100.6165306
247,Herfinta Group,Herfinta Farm & Plantation,Indonesia,Sumatera Utara,1.854074,100.165777
248,Hutan Alam Lestari,Hutan Alam Lestari,Indonesia,Jambi,-1.610917,103.342417
249,Jabal Perkasa,Jabal Perkasa,Indonesia,Riau,1.062263,100.130815
250,Asia Sawit Makmur Jaya,Jake,Indonesia,Riau,-0.4855,101.452
251,Jalur Pusaka Sakti Kumala,Pangkalan Kerinci,Indonesia,Riau,0.4,101.7961
252,Jaya Gemilang Sukses,Jaya Gemilang Sukses,Indonesia,Riau,1.59869,100.905222
253,Padasa Enam Utama,Kalianta Satu,Indonesia,Riau,0.527776,100.777302
254,Padasa Enam Utama,Kalianta Dua,Indonesia,Riau,0.457083,100.803444
255,Kamparindo Agro Industri,Kamparindo Agro Industri,Indonesia,Riau,0.864,101.286
256,Bumitama Gunajaya Agro,Karya Bakti Agro Sejahtera,Indonesia,Kalimantan Barat,-2.283611,110.503333
257,Karya Indorata Persada,Gunung Sahilan,Indonesia,Riau,0.113361111,101.2356389
258,Karya Indo Sejatitama,Karya Indo Sejatitama,Indonesia,Sumatera Selatan,-2.997939,102.787836
259,Bukit Sawit Semesta,Bukit Sawit Semesta,Indonesia,Sumatera Barat,-0.344148,99.961593
260 Kencana Agri,,Kencana Andalan Nusantara (Harapan),Indonesia,Riau,1.782778,100.393111
261,Bumitama Gunajaya Agro,Gunajaya Karya Gemilang (Kendawangan),Indonesia,Kalimantan Barat,-2.445833,110.265833
